id,language,glyph,pron
1,waitau,熱頭,ngik6 täu2
1,hakka,日頭,ngit5 teu2
2,waitau,月,yük6
2,hakka,月光,ngiet6 gong1
3,waitau,星,seng2
3,hakka,星,sin1
4,waitau,飛星,fi1 säng1
4,hakka,天瀉屎,tien1 sia4 si3
5,waitau,掃把星,säu1 ba2 seng1
5,hakka,掃把星,sau4 ba3 sin1
6,waitau,天河,ting1 ho4
6,hakka,天河,tien1 ho2
7,waitau,天狗喫日,ting1 gäu2 hek2 yäk6
7,hakka,天狗食日,tien1 geu3 sit6 ngit5
8,waitau,天狗喫月,ting1 gäu2 hek2 yük6
8,hakka,天狗食月,tien1 geu3 sit6 ngiet6
9,waitau,發風,fæk2 fung1
9,hakka,發風,da3 fung1
10,waitau,發大風,fæk2 dai6 fung1
10,hakka,打風差,da3 fung1 cai1
11,hakka,皺風鬼,zeu4 fung1 gui3
12,waitau,逆風,ngæk6 fung1
12,hakka,頂頭風,din3 teu2 fung1
13,waitau,雲,wäng4
13,hakka,雲,yun2
14,waitau,雨,yü1
14,hakka,水,sui3
15,waitau,雨粉,yü1 fäng2
15,hakka,水毛,sui3 mau1
16,waitau,落雨,lok6 yü1
16,hakka,落水,lok6 sui3
17,waitau,天晴,ting1 cäng4
17,waitau,天好,ting1 häu2
17,hakka,晴水,ciang2 sui3
18,waitau,涿雨,duk2 yü1
18,waitau,耷雨,däp6 yü1
18,hakka,涿水,duk5 sui3
19,waitau,雷公,löi4 gung1
19,hakka,雷公,lui2 gung1
20,waitau,雷公響,löi4 gung1 höng2
20,hakka,雷公叫,lui2 gung1 giau4
21,waitau,天攝,ting1 sip2
21,waitau,火蛇撩,fo2 se4 liu2
21,hakka,火蛇囁,fo3 sa2 ngiap5
22,waitau,露水,lu6 söi2
22,hakka,露水,lu4 sui3
23,waitau,打霧,da2 mu6
23,hakka,打露水,da3 lu4 sui3
24,waitau,霧,mu6
24,hakka,霧,mu4
25,waitau,起霧,hi2 mu6
25,hakka,落霧,lok6 mu4
26,waitau,霜,söng1
26,hakka,霜,song1
27,waitau,落霜,lok6 söng1
27,hakka,落霜,lok6 song1
28,waitau,天弓,ting1 gung1
28,hakka,天弓,tien1 giung1
29,waitau,雹,bok6
29,hakka,雹,pok6
30,waitau,落雹,lok6 bok6
30,hakka,落雹,lok6 pok6
31,hakka,過雲水,go4 yun2 sui3
32,waitau,雪,sük2
32,hakka,雪,siet5
33,waitau,降雪,gong6 sük2
33,hakka,落雪,lok6 siet5
34,waitau,融雪,yung4 sük2
34,hakka,融雪,yung2 siet5
35,waitau,冰,bäng1
35,hakka,冰,ben1
37,waitau,結冰,gik2 bäng1
37,hakka,結冰,giet5 ben1
38,hakka,結嗨冰,giet5 hoi1 ben1
39,waitau,天候,ting1 häu6
39,waitau,天時,ting1 si4
39,hakka,天氣,tien1 hi4
39,hakka,天時,tien1 si2
40,waitau,陰天,yäm2 ting1
40,waitau,天陰,ting1 yäm2
40,hakka,烏暗天,vu1 am4 tien1
40,hakka,烏陰天,vu1 yim1 tien1
41,waitau,好天,häu2 ting1
41,hakka,好天,hau3 tien1
42,waitau,天乾,ting1 gwung1
42,hakka,天旱,tien1 hon1
43,waitau,水浸,söi2 zäm1
43,hakka,浸大水,zim4 tai4 sui3
44,waitau,熱,ngik6
44,waitau,天時熱,ting1 si4 ngik6
44,hakka,熱,ngiet6
45,waitau,翳悶,ngäi4 mung6
45,hakka,熻,hip5
46,waitau,凍鐵鐵,dung6 dik2 dik2
46,hakka,冷,lang1
47,waitau,涼,löng4
47,hakka,涼,liong2
48,waitau,涼浸浸,löng4 zäm1 zäm1
48,waitau,涼爽,löng4 song2
48,hakka,涼爽,liong2 song3
49,waitau,暖,nüng1
49,waitau,和暖,wo4 nüng1
49,hakka,暖,lon1
50,waitau,山,sæng1
50,hakka,嶺崗,liang1 gong1
51,waitau,山頭,sæng1 täu4
51,waitau,山嶺,sæng1 läng2
51,hakka,嶺頂,liang1 dang3
52,waitau,山腰,sæng1 yiu1
52,hakka,半山,ban4 san1
53,waitau,山腳,sæng1 gök2
53,hakka,山腳下,san1 giok5 ha1
54,waitau,山崖,sæng1 ngai4
54,hakka,山崖,san1 ngai2
54,hakka,崩崗,ben1 gong1
55,waitau,山谷,sæng1 guk2
55,hakka,山窩,san1 vo1
55,hakka,山坑仔,san1 hang1 zai3
56,waitau,山前,sæng1 cing4
56,hakka,嶺腳下,liang1 giok5 ha1
57,waitau,山後,sæng1 häu6
57,hakka,嶺背後,liang1 boi4 heu1
58,waitau,海,fui2
58,hakka,海,hoi3
59,waitau,河,ho4
59,hakka,河,ho2
60,waitau,湖,fu4
60,hakka,湖,fu2
61,waitau,水澗,söi2 gæng1
61,hakka,河,ho2
62,waitau,岸,wung6
62,hakka,河邊,ho2 bien1
63,waitau,壩,ba1
63,hakka,河壆,ho2 bok5
64,waitau,壆,bok2
64,hakka,陂頭,bi1 teu2
65,waitau,沙攔,sa1 læng2
65,hakka,沙壩,sa1 ba4
66,waitau,坑,hæng1
66,hakka,圳仔,zun4 zai3
66,hakka,坑瀝,hang1 lak5
67,waitau,坑渠,hæng1 kü4
67,waitau,水瀝,söi2 lek2
67,hakka,圳,zun4
68,waitau,塘,tong4
68,hakka,塘,tong2
69,waitau,氹,täm1
69,waitau,水氹,söi2 täm1
69,hakka,湖氹,fu2 tem2
70,waitau,平地,peng6 di6
70,hakka,平地,piang2 ti4
71,waitau,石仔,sek6 zäi2
71,waitau,石頭,sek6 täu4
71,hakka,石牯,sak6 gu3
72,waitau,鵝春石,ngo4 cäng1 sek6
72,hakka,鵝卵石,ngo2 lon3 sak6
73,waitau,沙,sa1
73,waitau,泥沙,näi4 sa1
73,hakka,沙公,sa1 gung1
74,waitau,燥泥,zäu1 näi4
74,hakka,泥,lai2
75,waitau,爛泥,næng6 näi4
75,waitau,濕泥,säp2 näi4
75,hakka,爛泥,lan4 lai2
76,waitau,灰塵,fui1 cäng4
76,waitau,泥塵,näi4 cäng4
76,hakka,泥塵,lai2 cin2
77,waitau,垃圾,lap6 sap2
77,hakka,垃圾,lot5 sot5
78,waitau,生銹,sæng1 säu2
78,hakka,魯,lu1
78,hakka,銹,sio4
79,waitau,木屑,muk6 sik2
79,waitau,木碎,muk6 söi1
79,hakka,木絲,muk5 si1
79,hakka,刨茸,pau2 yung2
80,waitau,粉,fäng2
80,hakka,粉,fun3
81,waitau,碎,söi1
81,hakka,碎,sui4
82,hakka,硝,siau1
83,waitau,石灰,sek6 fui1
83,hakka,石灰,sak6 foi1
84,waitau,紅毛泥,hung4 mäu4 näi4
84,hakka,紅毛泥,fung2 mau1 lai2
85,waitau,玻璃,bo1 li2
85,hakka,玻璃,bo1 li1
86,waitau,油,yäu2
86,hakka,油漆,yiu2 cit5
87,waitau,攝石,sip2 sek6
87,hakka,磁挾,ci2 hiap6
88,waitau,金,gäm1
88,hakka,金,gim1
89,waitau,銀,ngäng4
89,hakka,銀,ngiun2
90,waitau,銅,tung4
90,hakka,銅,tung2
91,waitau,鐵,tik2
91,hakka,鐵,diet5
92,waitau,錫,sek6
92,hakka,錫,siak5
93,waitau,鋁,lü1
93,hakka,銻,tai1
94,waitau,凍水,dung1 söi2
94,hakka,冷水,lang1 sui3
95,waitau,暖水,nüng1 söi2
95,hakka,拿暖水,la2 lon1 sui3
96,waitau,熱水,ngik6 söi2
96,hakka,燒水,sau1 sui3
97,waitau,滾水,gwäng2 söi2
97,hakka,沸水,bui4 sui3
98,waitau,滾,gwäng2
98,hakka,沸嗨,bui4 hoi1
99,waitau,潲水,sau1 söi2
99,hakka,洗米水,se3 mi3 sui3
100,waitau,城,seng2
100,hakka,街肚,gai1 du3
101,waitau,鄉下,höng1 ha2
101,hakka,農村裡,lung2 cun1 li1
102,waitau,村,cüng1
102,hakka,村,cun1
103,waitau,巷,hong6
103,hakka,巷,hong4
104,waitau,路,lu6
104,hakka,路,lu4
105,waitau,嘢,ya1
105,hakka,東西,dung1 si1
106,waitau,色水,säk2 söi2
106,hakka,顏色,ngan2 set5
106,hakka,色,set5
107,waitau,聲,seng1
107,hakka,聲,sang1
108,waitau,膸,cöi4
108,hakka,味,mui4
109,waitau,味道,mi6 däu6
109,hakka,味,mui4
110,waitau,皓,hau6
110,hakka,光,gong1
111,waitau,影,yäng2
111,hakka,影,yang3
112,waitau,風景,fung1 gäng2
112,hakka,風景,fung1 gin3
113,waitau,前邊,cing4 bing6
113,hakka,臉前,ngiam4 cien2
113,hakka,前頭,cien2 teu2
114,waitau,後邊,häu6 bing6
114,waitau,後背歷,häu6 bi6 läi2
114,hakka,背後,boi4 heu1
115,waitau,左邊,zo2 bing6
115,waitau,左手邊,zo2 säu2 bing6
115,hakka,左手析,zo3 siu3 bien1
116,waitau,右邊,yäu6 bing6
116,waitau,右手邊,yäu6 säu2 bing6
116,hakka,右手析,yiu4 siu3 bien1
117,waitau,上邊,söng6 bing6
117,waitau,上高,söng6 gäu1
117,hakka,上高,song4 gau1
