char,pron
熱頭,ngik6 täu2
飛星,fi1 säng1
掃把星,säu1 ba2 seng1
天河,ting1 ho4
天狗喫日,ting1 gäu2 hek2 yäk6
天狗喫月,ting1 gäu2 hek2 yük6
發風,fæk2 fung1
發大風,fæk2 dai6 fung1
逆風,ngæk6 fung1
雨粉,yü1 fäng2
落雨,lok6 yü1
天晴,ting1 cäng4
天好,ting1 häu2
涿雨,duk2 yü1
耷雨,däp6 yü1
雷公,löi4 gung1
雷公響,löi4 gung1 höng2
天攝,ting1 sip2
火蛇撩,fo2 se4 liu2
露水,lu6 söi2
打霧,da2 mu6
起霧,hi2 mu6
落霜,lok6 söng1
天弓,ting1 gung1
落雹,lok6 bok6
降雪,gong6 sük2
融雪,yung4 sük2
結冰,gik2 bäng1
天候,ting1 häu6
天時,ting1 si4
陰天,yäm2 ting1
天陰,ting1 yäm2
好天,häu2 ting1
天乾,ting1 gwung1
水浸,söi2 zäm1
天時熱,ting1 si4 ngik6
翳悶,ngäi4 mung6
凍鐵鐵,dung6 dik2 dik2
涼浸浸,löng4 zäm1 zäm1
涼爽,löng4 song2
和暖,wo4 nüng1
山頭,sæng1 täu4
山嶺,sæng1 läng2
山腰,sæng1 yiu1
山腳,sæng1 gök2
山崖,sæng1 ngai4
山谷,sæng1 guk2
山前,sæng1 cing4
山後,sæng1 häu6
水澗,söi2 gæng1
沙攔,sa1 læng2
坑渠,hæng1 kü4
水瀝,söi2 lek2
水氹,söi2 täm1
平地,peng6 di6
石仔,sek6 zäi2
石頭,sek6 täu4
鵝春石,ngo4 cäng1 sek6
泥沙,näi4 sa1
燥泥,zäu1 näi4
爛泥,næng6 näi4
濕泥,säp2 näi4
灰塵,fui1 cäng4
泥塵,näi4 cäng4
垃圾,lap6 sap2
生銹,sæng1 säu2
木屑,muk6 sik2
木碎,muk6 söi1
石灰,sek6 fui1
紅毛泥,hung4 mäu4 näi4
玻璃,bo1 li2
攝石,sip2 sek6
凍水,dung1 söi2
暖水,nüng1 söi2
熱水,ngik6 söi2
滾水,gwäng2 söi2
潲水,sau1 söi2
鄉下,höng1 ha2
色水,säk2 söi2
味道,mi6 däu6
風景,fung1 gäng2
前邊,cing4 bing6
後邊,häu6 bing6
後背歷,häu6 bi6 läi2
左邊,zo2 bing6
左手邊,zo2 säu2 bing6
右邊,yäu6 bing6
右手邊,yäu6 säu2 bing6
上邊,söng6 bing6
上高,söng6 gäu1
下邊,ha6 bing6
下低,ha6 däi2
入邊,yäp6 bing6
入解,yäp6 gai2
出邊,cäk2 bing6
出茅,cäk2 mau2
屋上,uk2 söng2
床下底,cong4 ha6 däi2
中間心,zung1 gæng1 säm2
側邊,zäp2 bing2
對面,döi1 ming6
近邊,gäng6 bing6
附近,fu6 gäng6
隔籬,gäk2 li4
隔籬鄰舍,gäk2 li4 läng4 se1
今年,gäm1 ning4
舊年,gäu6 ning4
前年,cing4 ning2
大前年,dai6 cing4 ning2
出年,cäk2 ning2
後年,häu6 ning2
大後年,dai6 häu6 ning2
今日,gäm1 yäk6
昨日,co1 yäk2
尋日,cäm4 yäk6
前日,cing4 yäk2
大前日,dai6 cing4 yäk2
聽日,täng1 yäk6
聽日,täng1 yäk2
後日,häu6 yäk6
大後日,dai6 häu6 yäk6
第二日,däi6 ngi6 yäk6
日日,yäk6 yäk6
日子,yäk6 zi2
鐘頭,zung1 täu4
點鐘,dim2 zung1
天光,ting1 gwong1
麻嘅,ma4 ge2
朝頭早,ziu6 täu4 zäu2
上晝,söng6 zäu1
晏晝,æng6 zäu2
下晝,ha6 zäu6
挨晚,ai1 mæng1
日頭,yäk6 täu2
晚頭黑,mæng1 täu4 hak2
入夜,yäp6 ya6
成日,seng4 yak6
天黑,ting1 häk2
月頭,yük6 täu4
月尾,yük6 mi1
舊時,gäu6 si4
舊陣時,gäu6 zäng6 si4
那下,na2 ha1
起頭,hi2 täu4
開首,fui1 säu2
後尾,häu6 mi1
收尾,säu2 mi1
最後尾,zöi1 säu1 mi1
啱先,ngam2 sing1
頭先,täu4 sing1
大年初一,dai6 ning4 co1 yäk2
五月節,ng1 yük6 zik2
扒龍船,pa4 lung4 süng4
八月十五,bæk2 yük6 säp6 ng1
重陽,cung4 yong4
重九,cung4 gäu2
九月九,gäu2 yük6 gäu2
大年卅晚,dai6 ning4 sa6 mæng1
年卅晚,ning4 sa6 mæng1
通書,tung1 sü1
通勝,tung1 säng1
一世,yäk2 säi1
成世,seng4 säi1
前世,cing4 säi1
下一世,ha6 yäk2 säi1
第二世,däi6 ngi6 säi1
一陣間,yäk2 zäng6 gæng2
眨下眼,zam2 ha1 ngæng2
時候,si4 häu6
水田,söi2 ting4
田壆,ting4 bok2
耕田,gæng1 ting4
蒔田,si1 ting4
剔禾草,tik2 wo4 cäu2
割禾,gwuk2 wo4
拌禾,pæng1 wo4
打穀,da2 guk2
禾稈草,wo4 gwung2 cäu2
禾稈頭,wo4 gwung2 täu4
鋤頭,co4 täu4
鋤頭,co4 täu2
番釘,fæng1 deng1
禾鐮,wo4 lim2
草鐮,cäu2 lim2
草鐮,cäu2 lim4
鐮刀,lim4 dau1
柴刀,cai6 däu1
水車,söi2 ce1
風車,fung1 ce1
拌桶,pæng1 tung2
穀臿,guk2 cap2
垃圾臿,lap6 sap2 cap2
穀籮,guk2 lo4
泥磨,näi4 mo2
碓坎,döi1 häm2
地堂,di6 tong2
禾堂,wo4 tong2
窩攔,wo1 læng4
擔竿,dam1 gung1
繩仔,säng4 zäi2
打樁,da2 zong1
門楔,mung4 sip2
竹棒,zuk2 pang1
發芽,fak2 nga4
掌牛,zöng2 ngäu4
斬柴,zam2 cai4
劈柴,pek2 cai4
破柴,po1 cai4
投墟,täu4 hü1
入城,yäp6 seng2
出城,cäk2 seng2
網魚,mong6 yü4
捉魚,zuk2 yü2
作壩,zok2 ba1
作壆,zok2 bok2
乾塘,gwung1 tong4
戽水,fu1 söi2
磨米,mo4 mäi1
壓米,ngak2 mäi1
菜園,cöi1 yüng4
種菜,zung1 cöi2
淋菜,läm4 cöi1
劏魚,tong1 yü4
劏雞,tong1 gäi1
𠜎雞,sing1 gäi1
劏豬,tong1 zü1
養雞,yöng1 gäi1
養豬,yöng1 zü1
做嘢,zu6 ya1
糴米,dek6 mäi1
買豬肉,mai1 zü1 yuk6
洗米,säi2 mäi1
煮飯,zü2 fæng6
焗飯,guk6 fæng6
煮餸,zü2 sung1
煲湯,bäu1 tong1
滾湯,gwäng2 tong1
盪碗,long1 wung2
洗碗,säi2 wung2
執拾,zap2 säp6
供養,gung1 yöng1
掌屋,zöng2 uk2
掌門口,zöng2 mung4 häu2
晾衫,long6 sam1
晾燥,long6 zau1
火燭,fo2 zuk2
出力,cäk2 läk6
攤凍,tæng1 dung1
泛穀,pæng1 guk2
糯米,no6 mäi1
粘米,zim1 mäi1
米仔,mäi1 zäi2
狗尾粟,gäu2 mi1 suk2
包粟,bau1 suk2
高粱,gäu1 löng4
黃豆,wong4 däu2
大豆,dai6 däu2
荷蘭豆,ho4 læng2 däu2
蠶豆,cam4 däu2
芝麻,zi1 ma4
豆角,däu6 gok2
扁豆,bing2 däu6
葛薯,guk2 sü4
荷蘭薯,ho4 læng2 sü4
薯仔,sü4 zäi2
地豆,di6 däu6
地豆米,di6 däu6 mäi1
栗子,läk6 zi1
菠菜,bo2 cöi1
黃芽白,wong4 nga4 bæk6
矮瓜,äi2 gwa1
絲瓜,si1 gwa1
番瓜,fæng1 gwa1
冬瓜,dung1 gwa1
青瓜,ceng1 gwa1
番茄,fæng1 kö2
菜頭,cöi1 täu4
紅蘿蔔,hung4 lo4 bæk6
甘筍,gäm1 säng2
辣椒,læk6 ziu2
蕹菜,ung1 cöi1
韭菜,gäu2 cöi1
莧菜,hing1 cöi1
芥菜,gai1 cöi1
芹菜,käng4 cöi1
